"","Gracz","Pozycja","Urodziny","Wiek","Pierwsza narodowość","Druga narodowość","Wzrost","Lepsza noga","Data dołączenia","Poprzedni klub","Data wygaśnięcia kontraktu","Wartość rynkowa","Liga"
"324","Marko Poletanovic","Defensive Midfield","Jul 20, 1993","29","Serbia",NA,187,"right","Jul 1, 2022","Wisla Kraków","Jun 30, 2024","€300k","Ekstraklasa"
"325","Filip Kocaba","Defensive Midfield","Nov 13, 2004","18","Poland",NA,183," ","Feb 2, 2022","Zaglebie Lubin II","Jun 30, 2025","€250k","Ekstraklasa"
"326","Jakub Zubrowski","Defensive Midfield","Mar 21, 1992","30","Poland",NA,181,"right","Jul 22, 2020","Korona Kielce","Jun 30, 2023","€150k","Ekstraklasa"
"327","Dawid Pakulski","Defensive Midfield","Jul 23, 1998","24","Poland",NA,179,"right","Nov 16, 2017","Zaglebie Lubin II","Jun 30, 2023","€50k","Ekstraklasa"
"328","Kacper Terlecki","Central Midfield","Jul 31, 2005","17","Poland",NA,183,"left","Jul 12, 2022","Zaglebie Lubin II","Jun 30, 2025","€25k","Ekstraklasa"
"329","Filip Starzynski","Attacking Midfield","May 27, 1991","31","Poland",NA,184,"right","Jul 19, 2016","KSC Lokeren (- 2020)","Jun 30, 2023","€500k","Ekstraklasa"
"330","Adam Ratajczyk","Attacking Midfield","Jun 12, 2002","20","Poland",NA,176,"right","Oct 2, 2020","LKS Lodz","Jun 30, 2024","€450k","Ekstraklasa"
"331","Koki Hinokio","Attacking Midfield","Feb 26, 2001","21","Japan",NA,165,"right","Jul 1, 2021","Stomil Olsztyn","Jun 30, 2024","€300k","Ekstraklasa"
"332","Kacper Masiak","Attacking Midfield","Jan 11, 2005","17","Poland",NA,175," ","Feb 2, 2022","Zaglebie Lubin II","Jun 30, 2024","€50k","Ekstraklasa"
"333","Damjan Bohar","Left Winger","Oct 18, 1991","31","Slovenia",NA,172,"right","Jul 1, 2022","NK Osijek","Jun 30, 2024","€500k","Ekstraklasa"
"334","Patryk Kusztal","Left Winger","Mar 28, 2003","19","Poland",NA,176," ","Sep 20, 2021","Zaglebie Lubin II","Jun 30, 2024","€200k","Ekstraklasa"
"335","Sasa Zivec","Left Winger","Apr 2, 1991","31","Slovenia",NA,170,"right","Jul 1, 2019","Omonia Nicosia","Jun 30, 2023","€100k","Ekstraklasa"
"336","Kacper Chodyna","Right Winger","May 24, 1999","23","Poland",NA,176,"right","Feb 7, 2020","Zaglebie Lubin II","Jun 30, 2025","€600k","Ekstraklasa"
